9095	18	1214	15	0
1214	23	1214	15	0
1214	2	19694	15	0
1214	2	19694	15	0
1214	15	15363	15	0
1214	15	15363	15	0
1214	15	11918	15	0
1214	15	8491	15	0
1214	15	9824	15	0
1214	18	5278	15	0
1214	9	1214	15	0
1214	9	2940	15	0
8294	18	12745	15	0
12745	17	9668	15	0
1214	22	3076	15	0
8294	22	3076	15	0
8294	18	1214	15	0
1214	18	1214	15	0
1214	22	3076	15	0
7647	7	13953	16	0
7647	7	13953	16	0
11679	1	13953	16	0
1214	2	13515	16	0
1214	2	9824	16	0
1214	18	1214	16	0
1214	15	9857	16	0
14	7	1214	16	0
8057	7	6285	16	0
8057	7	12185	16	0
8057	7	12185	16	0
8057	7	6285	16	0
8057	7	12185	16	0
8057	7	19262	16	0
8057	7	974	16	0
8057	7	8057	16	0
8057	7	16081	16	0
8057	7	8813	16	0
1214	18	1214	16	0
1214	17	6469	16	0
1214	21	4252	16	0
12745	5	12422	16	0
17153	9	17276	16	0
17153	9	12966	16	0
17153	9	6528	16	0
17153	9	8608	16	0
17153	9	8608	16	0
17153	9	17228	16	0
17153	9	17228	16	0
12966	9	12966	16	0
4940	9	12966	16	0
17153	9	4940	16	0
17228	18	18084	16	0
12966	18	18084	16	0
4940	18	18084	16	0
17153	18	18084	16	0
17228	18	18084	16	0
6528	18	18084	16	0
17276	18	18084	16	0
16272	21	7230	16	0
14085	21	7230	16	0
8484	21	7230	16	0
16272	21	7230	16	0
4744	15	4744	16	0
11482	13	15619	16	0
11482	17	14155	16	0
11482	21	14155	16	0
9198	23	15619	16	0
11482	9	15619	16	0
11482	13	15619	16	0
11482	13	6552	16	0
11482	13	6552	16	0
